exam_score,test_score,assignment_score,practical_score,final_score,performance_category,pass_fail
38.1,5.8,7.5,14.2,66.3,Good,Pass
23.6,5.5,8.3,13.5,53.3,Average,Pass
42.9,7.2,7.5,16.0,76.0,Good,Pass
45.0,6.9,9.9,15.3,76.1,Good,Pass
13.7,4.4,8.9,5.2,32.7,At Risk,Fail
20.7,8.2,6.8,15.1,47.1,At Risk,Fail
36.2,6.4,6.8,10.8,60.3,Average,Pass
31.4,4.8,7.8,9.6,52.0,Average,Pass
34.6,8.3,6.2,13.1,61.8,Average,Pass
25.6,7.4,8.6,14.8,53.0,Average,Pass
44.3,4.6,7.6,9.0,66.4,Good,Pass
43.2,9.2,7.5,15.6,72.1,Good,Pass
35.5,7.5,8.0,15.7,67.1,Good,Pass
47.0,6.5,9.3,13.7,74.0,Good,Pass
39.8,8.9,7.4,11.2,65.6,Good,Pass
25.5,6.7,7.1,10.9,52.5,Average,Pass
38.8,6.5,9.0,16.5,71.9,Good,Pass
24.4,5.5,8.4,9.4,50.0,Average,Pass
44.3,7.4,6.8,16.6,78.2,Good,Pass
34.3,7.2,7.2,13.1,60.3,Average,Pass
32.8,6.5,7.4,13.3,63.1,Average,Pass
27.4,5.3,7.6,8.8,46.3,At Risk,Fail
48.0,6.7,5.6,13.2,75.0,Good,Pass
33.1,6.4,5.3,15.3,59.2,Average,Pass
30.2,4.5,6.1,9.9,48.8,At Risk,Fail
31.0,4.3,6.0,15.0,57.6,Average,Pass
40.5,7.3,6.4,13.8,70.1,Good,Pass
38.7,2.6,8.0,11.8,62.9,Average,Pass
39.3,6.8,7.0,16.0,69.5,Good,Pass
39.5,5.8,7.4,7.4,60.4,Average,Pass
57.9,8.5,5.7,14.6,87.7,Excellent,Pass
30.4,5.8,6.6,18.1,61.6,Average,Pass
29.3,7.5,7.9,17.6,63.4,Average,Pass
26.0,5.9,7.9,14.7,54.9,Average,Pass
41.5,6.7,6.3,12.8,68.9,Good,Pass
47.0,7.6,7.4,11.8,70.6,Good,Pass
33.6,5.8,9.8,12.8,61.7,Average,Pass
25.7,8.0,7.2,15.1,53.3,Average,Pass
25.9,5.0,6.4,11.3,49.2,At Risk,Fail
41.8,6.9,7.0,15.7,74.8,Good,Pass
42.8,7.9,7.3,19.6,76.6,Good,Pass
40.7,7.5,7.0,13.4,68.9,Good,Pass
27.6,9.4,7.2,9.8,55.5,Average,Pass
37.3,5.4,5.5,9.8,53.8,Average,Pass
36.1,4.4,6.0,15.8,61.3,Average,Pass
37.2,5.0,7.0,13.4,63.4,Average,Pass
44.2,7.5,7.0,16.1,69.0,Good,Pass
37.2,7.2,6.5,12.1,61.1,Average,Pass
42.1,6.7,7.0,15.9,73.9,Good,Pass
35.5,4.8,7.3,13.2,62.8,Average,Pass
37.9,7.7,8.3,11.5,66.1,Good,Pass
41.6,4.7,7.1,12.5,67.6,Good,Pass
19.1,8.2,7.7,10.2,45.7,At Risk,Fail
31.3,10.0,6.6,19.2,68.2,Good,Pass
29.7,7.0,7.9,13.3,57.4,Average,Pass
27.9,7.4,7.7,15.4,58.6,Average,Pass
31.8,5.8,8.2,12.1,56.7,Average,Pass
50.9,3.8,8.1,10.7,76.0,Good,Pass
25.4,5.6,7.9,12.9,54.9,Average,Pass
45.3,4.9,7.1,16.7,76.6,Good,Pass
16.6,4.3,7.5,12.1,39.8,At Risk,Fail
31.2,9.1,8.5,11.2,58.0,Average,Pass
36.6,6.9,6.4,14.0,66.5,Good,Pass
41.1,7.1,6.4,15.0,70.7,Good,Pass
42.5,6.0,7.4,18.2,74.8,Good,Pass
43.4,6.2,7.7,14.6,70.6,Good,Pass
31.0,7.9,6.2,15.4,61.4,Average,Pass
29.8,6.5,7.1,15.6,56.8,Average,Pass
